Resamples:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.95,0.84,0.89,0.78,0.9,0.81,0.79,0.83,0.92,0.85,0.87,0.84,0.9,0.9,0.87,0.82,0.7,0.89,0.83,0.8,0.85,0.92,0.89,0.82,0.94,0.87,0.82,0.88,0.89,0.86
Adiac,0.8363171355498721,0.7979539641943734,0.8005115089514067,0.7877237851662404,0.8081841432225064,0.8056265984654731,0.7902813299232737,0.7774936061381074,0.8081841432225064,0.8081841432225064,0.7877237851662404,0.8107416879795396,0.7774936061381074,0.782608695652174,0.80306905370844,0.8005115089514067,0.7979539641943734,0.8005115089514067,0.7723785166240409,0.7928388746803069,0.7928388746803069,0.8260869565217391,0.8235294117647058,0.8081841432225064,0.8132992327365729,0.8005115089514067,0.7851662404092071,0.7979539641943734,0.7877237851662404,0.8107416879795396
ArrowHead,0.8457142857142858,0.8,0.8228571428571428,0.9028571428571428,0.8914285714285715,0.8857142857142857,0.8114285714285714,0.8171428571428572,0.8971428571428571,0.8914285714285715,0.8171428571428572,0.8685714285714285,0.8628571428571429,0.9028571428571428,0.84,0.8057142857142857,0.7314285714285714,0.7657142857142857,0.7828571428571428,0.8628571428571429,0.8857142857142857,0.76,0.8571428571428571,0.7942857142857143,0.8685714285714285,0.8171428571428572,0.8971428571428571,0.8628571428571429,0.8114285714285714,0.8685714285714285
BME,1.0,1.0,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9266666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,1.0,1.0,1.0
Beef,0.7333333333333333,0.6333333333333333,0.7333333333333333,0.8,0.7,0.7333333333333333,0.8333333333333334,0.7333333333333333,0.7666666666666667,0.8,0.6666666666666666,0.7,0.7666666666666667,0.7333333333333333,0.7666666666666667,0.5333333333333333,0.7,0.5666666666666667,0.6333333333333333,0.6,0.7333333333333333,0.8333333333333334,0.6333333333333333,0.8333333333333334,0.6666666666666666,0.8,0.5666666666666667,0.7333333333333333,0.7,0.7
BeetleFly,0.95,1.0,0.95,0.9,1.0,0.85,0.85,0.9,1.0,0.9,0.85,1.0,0.8,0.9,1.0,0.9,0.95,0.8,0.9,1.0,0.95,0.9,0.9,0.85,0.85,0.9,0.9,0.95,0.95,1.0
BirdChicken,0.9,0.95,0.9,0.95,0.9,0.9,1.0,0.9,0.95,1.0,0.9,1.0,1.0,1.0,1.0,0.95,0.75,0.9,0.9,1.0,1.0,0.9,0.9,1.0,1.0,0.9,1.0,0.95,0.85,0.95
CBF,0.9977777777777778,0.9988888888888889,1.0,0.9744444444444444,0.9933333333333333,0.9988888888888889,0.9911111111111112,0.99,1.0,0.9988888888888889,0.9988888888888889,0.9733333333333334,0.9888888888888889,0.9922222222222222,1.0,1.0,0.9666666666666667,1.0,1.0,0.9977777777777778,1.0,0.9955555555555555,0.9988888888888889,0.9966666666666667,1.0,1.0,1.0,0.9988888888888889,1.0,0.9988888888888889
Car,0.9,0.8666666666666667,0.8666666666666667,0.8833333333333333,0.95,0.85,0.8833333333333333,0.8333333333333334,0.9,0.8833333333333333,0.9166666666666666,0.95,0.75,0.95,0.9,0.85,0.9,0.9166666666666666,0.8833333333333333,0.9166666666666666,0.95,0.9,0.9,0.9166666666666666,0.8833333333333333,0.8,0.9166666666666666,0.9,0.9666666666666667,0.9166666666666666
Chinatown,0.9825072886297376,0.967930029154519,0.9737609329446064,0.9825072886297376,0.967930029154519,0.967930029154519,0.9766763848396501,0.9825072886297376,0.9825072886297376,0.9708454810495627,0.9825072886297376,0.967930029154519,0.9825072886297376,0.967930029154519,0.967930029154519,0.9737609329446064,0.9795918367346939,0.9825072886297376,0.9766763848396501,0.967930029154519,0.967930029154519,0.9650145772594753,0.9650145772594753,0.967930029154519,0.9825072886297376,0.9620991253644315,0.9737609329446064,0.967930029154519,0.9825072886297376,0.967930029154519
